checklist_scientificName	checklist_group	checklist_kingdom	backbone_taxonKey	backbone_taxonomicStatus
Acer negundo	plants	Plantae	3189866	ACCEPTED
Ailanthus altissima	plants	Plantae	3190653	ACCEPTED
Aix galericulata	birds	Animalia	2498388	ACCEPTED
Aix sponsa	birds	Animalia	2498387	ACCEPTED
Akebia quinata	plants	Plantae	3033965	ACCEPTED
Amelanchier lamarckii	plants	Plantae	3024109	ACCEPTED
Mareca sibilatrix	birds	Animalia	9508460	ACCEPTED
Aponogeton distachyos	aquatic plants	Plantae	5328593	ACCEPTED
Pontastacus leptodactylus	crustaceans	Animalia	8946295	ACCEPTED
Azolla filiculoides	aquatic plants	Plantae	2650107	ACCEPTED
Cabomba caroliniana	aquatic plants	Plantae	2882443	ACCEPTED
Callinectes sapidus	crustaceans	Animalia	2225646	ACCEPTED
Callosciurus prevostii	mammals	Animalia	2437397	ACCEPTED
Campylopus introflexus	plants	Plantae	5281901	ACCEPTED
Caprella mutica	crustaceans	Animalia	5178057	ACCEPTED
Carpobrotus edulis	plants	Plantae	3084842	ACCEPTED
Cervus nippon	mammals	Animalia	2440954	ACCEPTED
Chelydra serpentina	reptiles	Animalia	2441905	ACCEPTED
Cherax destructor	crustaceans	Animalia	4417558	ACCEPTED
Corbicula fluminalis	mollusca	Animalia	5189032	ACCEPTED
Corbicula fluminea	mollusca	Animalia	8190231	ACCEPTED
Cornus sanguinea australis	plants	Plantae	3663237	ACCEPTED
Cornus sanguinea hungarica	plants	Plantae	8421432	ACCEPTED
Cornus sericea	plants	Plantae	3082244	ACCEPTED
Cotula coronopifolia	plants	Plantae	3112110	ACCEPTED
Coturnix japonica	birds	Animalia	2474162	ACCEPTED
Crassula helmsii	aquatic plants	Plantae	5362054	ACCEPTED
Cyperus eragrostis	plants	Plantae	2715482	ACCEPTED
Cyperus esculentus	plants	Plantae	2716226	ACCEPTED
Dama dama	mammals	Animalia	5220136	ACCEPTED
Deroceras invadens	mollusca	Animalia	8745918	ACCEPTED
Dolichotis patagonum	mammals	Animalia	2437619	ACCEPTED
Elodea densa	aquatic plants	Plantae	5329263	ACCEPTED
Elaeagnus angustifolia	plants	Plantae	3039269	ACCEPTED
Elaphe schrenckii	reptiles	Animalia	2458438	ACCEPTED
Elaphe taeniura	reptiles	Animalia	8889878	ACCEPTED
Ensis directus	mollusca	Animalia	2287249	ACCEPTED
Eobania vermiculata	mollusca	Animalia	2294275	ACCEPTED
Eriocheir sinensis	crustaceans	Animalia	2225776	ACCEPTED
Faxonius immunis	crustaceans	Animalia	8930656	ACCEPTED
Faxonius juvenilis	crustaceans	Animalia	8721209	ACCEPTED
Faxonius rusticus	crustaceans	Animalia	8979506	ACCEPTED
Faxonius virilis	crustaceans	Animalia	8971201	ACCEPTED
Fraxinus pennsylvanica	plants	Plantae	3172348	ACCEPTED
Graptemys pseudogeographica kohnii	reptiles	Animalia	6157050	ACCEPTED
Graptemys pseudogeographica pseudogeographica	reptiles	Animalia	7190901	ACCEPTED
Hedera hibernica Poit.	plants	Plantae	8168344	ACCEPTED
Hedera hibernica (G.Kirchn.) Carrière	plants	Plantae	3036157	DOUBTFUL
Hemigrapsus sanguineus	crustaceans	Animalia	2225772	ACCEPTED
Hemigrapsus takanoi	crustaceans	Animalia	4382841	ACCEPTED
Heracleum mantegazzianum	plants	Plantae	3034825	ACCEPTED
Heracleum persicum	plants	Plantae	3628745	ACCEPTED
Heracleum sosnowskyi	plants	Plantae	3642949	ACCEPTED
Houttuynia cordata	plants	Plantae	5384931	ACCEPTED
Hydrocotyle ranunculoides	aquatic plants	Plantae	7978544	ACCEPTED
Impatiens balfourii	plants	Plantae	2891783	ACCEPTED
Impatiens capensis	plants	Plantae	2891774	ACCEPTED
Impatiens glandulifera	plants	Plantae	2891770	ACCEPTED
Impatiens parviflora	plants	Plantae	2891782	ACCEPTED
Koenigia polystachya	plants	Plantae	8848208	ACCEPTED
Lagarosiphon major	aquatic plants	Plantae	2865565	ACCEPTED
Leiothrix lutea	birds	Animalia	5231398	ACCEPTED
Leuciscus aspius	fish	Animalia	5851603	ACCEPTED
Lindernia dubia	plants	Plantae	3171888	ACCEPTED
Ludwigia grandiflora	aquatic plants	Plantae	5421039	ACCEPTED
Ludwigia peploides	aquatic plants	Plantae	5420991	ACCEPTED
Lycium barbarum	plants	Plantae	2928835	ACCEPTED
Lysichiton americanus	plants	Plantae	2869311	ACCEPTED
Magallana gigas	mollusca	Animalia	7820753	ACCEPTED
Megabalanus tintinnabulum	crustaceans	Animalia	5166487	ACCEPTED
Mephitis mephitis	mammals	Animalia	5219380	ACCEPTED
Erythranthe guttata	plants	Plantae	7346102	ACCEPTED
Misgurnus anguillicaudatus	fish	Animalia	2367919	ACCEPTED
Mnemiopsis leidyi	comb jellies	Animalia	2501248	ACCEPTED
Mustela vison	mammals	Animalia	5218823	ACCEPTED
Myiopsitta monachus	birds	Animalia	2479407	ACCEPTED
Myriophyllum aquaticum	aquatic plants	Plantae	5361785	ACCEPTED
Myriophyllum heterophyllum	aquatic plants	Plantae	5361762	ACCEPTED
Mytilopsis leucophaeata	mollusca	Animalia	2287076	ACCEPTED
Neogobius melanostomus	fish	Animalia	2379089	ACCEPTED
Palaemon macrodactylus	crustaceans	Animalia	2224970	ACCEPTED
Pelophylax bedriagae	amphibians	Animalia	2426640	ACCEPTED
Pelophylax ridibundus	amphibians	Animalia	2426661	ACCEPTED
Petasites japonicus	plants	Plantae	3088310	ACCEPTED
Phytolacca americana	plants	Plantae	3084015	ACCEPTED
Pimephales promelas	fish	Animalia	2367742	ACCEPTED
Podarcis siculus	reptiles	Animalia	9185677	ACCEPTED
Pontederia cordata	aquatic plants	Plantae	2766030	ACCEPTED
Potamopyrgus antipodarum	mollusca	Animalia	5192470	ACCEPTED
Procambarus acutus	crustaceans	Animalia	2227289	ACCEPTED
Procambarus clarkii	crustaceans	Animalia	2227300	ACCEPTED
Procambarus virginalis	crustaceans	Animalia	9442269	ACCEPTED
Psittacula eupatria	birds	Animalia	5229055	ACCEPTED
Psittacula krameri	birds	Animalia	2479226	ACCEPTED
Pycnonotus cafer	birds	Animalia	2486131	ACCEPTED
Rhithropanopeus harrisii	mollusca	Animalia	2227663	ACCEPTED
Rhus typhina	plants	Plantae	3190538	ACCEPTED
Rosa glauca	plants	Plantae	3003709	ACCEPTED
Rosa multiflora	plants	Plantae	3003244	ACCEPTED
Rubus laciniatus	plants	Plantae	2992543	ACCEPTED
Rubus spectabilis	plants	Plantae	2993761	ACCEPTED
Rudbeckia laciniata	plants	Plantae	3114229	ACCEPTED
Sagittaria latifolia	aquatic plants	Plantae	5328909	ACCEPTED
Saururus cernuus	plants	Plantae	5384932	ACCEPTED
Sinanodonta woodiana	mollusca	Animalia	4559541	ACCEPTED
Spiraea alba	plants	Plantae	7787813	ACCEPTED
Symphyotrichum lanceolatum	plants	Plantae	9202318	ACCEPTED
Symphyotrichum novae-angliae	plants	Plantae	3151618	ACCEPTED
Symphyotrichum novi-belgii	plants	Plantae	3151558	ACCEPTED
Syrmaticus reevesii	birds	Animalia	2473477	ACCEPTED
Tamiasciurus hudsonicus	mammals	Animalia	2437282	ACCEPTED
Triturus carnifex	amphibians	Animalia	2431887	ACCEPTED
Vaccinium corymbosum	plants	Plantae	2882849	ACCEPTED
Vaccinium macrocarpon Aiton	plants	Plantae	2882841	ACCEPTED
Zizania latifolia	plants	Plantae	10919373	ACCEPTED
